"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2015 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2015 JIF,Eigenfactor
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY - SCIE","137.578","0.062",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","CHEMISTRY, PHYSICAL - SCIE","38.891","0.208",
"CHEMICAL REVIEWS","CHEM REV","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY - SCIE","37.369","0.245",
"NATURE REVIEWS CANCER","NAT REV CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","34.244","0.088",
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY - SCIE","34.09","0.27",
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","30.357","0.162",
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","28.71","0.555",
"Nature Chemistry","NAT CHEM","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY - SCIE","27.893","0.103",
"LANCET ONCOLOGY","LANCET ONCOL","1470-2045","1474-5488","ONCOLOGY - SCIE","26.509","0.117",
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","CHEMISTRY, MULTIDISCIPLINARY - SCIE","25.427","0.165",
"NATURE METHODS","NAT METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS - SCIE","25.328","0.202",
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","ONCOLOGY - SCIE","23.214","0.102",
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY - SCIE","22.003","0.123",
"Annual Review of Biochemistry","ANNU REV BIOCHEM","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","21.407","0.035",
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","0732-183X","1527-7755","ONCOLOGY - SCIE","20.982","0.325",
"Cancer Discovery","CANCER DISCOV","2159-8274","2159-8290","ONCOLOGY - SCIE","19.783","0.047",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, MULTIDISCIPLINARY - SCIE","18.96","0.326",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, PHYSICAL - SCIE","18.96","0.326",
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","1759-4774","1759-4782","ONCOLOGY - SCIE","18.786","0.028",
"Advanced Energy Materials","ADV ENERGY MATER","1614-6832","1614-6840","CHEMISTRY, PHYSICAL - SCIE","15.23","0.058",
