"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2009 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2009 JIF,Eigenfactor
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY - SCIE","87.925","0.042",
"CHEMICAL REVIEWS","CHEM REV","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY - SCIE","35.957","0.209",
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","31.152","0.699",
"ANNUAL REVIEW OF BIOCHEMISTRY","ANNU REV BIOCHEM","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","29.875","0.062",
"NATURE REVIEWS CANCER","NAT REV CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","29.538","0.125",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","CHEMISTRY, PHYSICAL - SCIE","29.504","0.199",
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","27.136","0.194",
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","ONCOLOGY - SCIE","25.288","0.11",
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY - SCIE","20.086","0.071",
"ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE","ANNU REV BIOPH BIOM","1056-8700","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","18.955","0.017",
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY - SCIE","18.203","0.082",
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","0732-183X","1527-7755","ONCOLOGY - SCIE","17.793","0.366",
"ANNUAL REVIEW OF PHYSICAL CHEMISTRY","ANNU REV PHYS CHEM","0066-426X","1545-1593","CHEMISTRY, PHYSICAL - SCIE","17.464","0.016",
