"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2000 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2000 JIF,Eigenfactor
"ANNUAL REVIEW OF BIOCHEMISTRY","ANNU REV BIOCHEM","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","43.429","N/A",
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","32.44","N/A",
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","27.905","N/A",
"ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY","ANNU REV CELL DEV BI","1081-0706","1530-8995","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","26.3","N/A",
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY - SCIE","24.674","N/A",
"ADVANCES IN CANCER RESEARCH","ADV CANCER RES","0065-230X","2162-5557","ONCOLOGY - SCIE","21.68","N/A",
"CHEMICAL REVIEWS","CHEM REV","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY - SCIE","20.036","N/A",
"MOLECULAR CELL","MOL CELL","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","18.195","N/A",
"ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE","ANNU REV BIOPH BIOM","1056-8700","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","16.194","N/A",
"ANNUAL REVIEW OF PLANT PHYSIOLOGY AND PLANT MOLECULAR BIOLOGY","ANNU REV PLANT PHYS","1040-2519","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.094","N/A",
"SURFACE SCIENCE REPORTS","SURF SCI REP","0167-5729","1879-274X","CHEMISTRY, PHYSICAL - SCIE","14.952","N/A",
"JOURNAL OF THE NATIONAL CANCER INSTITUTE","J NATL CANCER I","0027-8874","N/A","ONCOLOGY - SCIE","14.159","N/A",
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.999","N/A",
"CURRENT OPINION IN GENETICS & DEVELOPMENT","CURR OPIN GENET DEV","0959-437X","1879-0380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.81","N/A",
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.262","N/A",
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.246","N/A",
"NATURE CELL BIOLOGY","NAT CELL BIOL","1465-7392","1476-4679","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.939","N/A",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON BIOMEMBRANES","BBA-REV BIOMEMBRANES","0304-4157","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.645","N/A",
"ADVANCES IN INORGANIC CHEMISTRY","ADV INORG CHEM","0065-2792","1557-8917","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","11.545","N/A",
"NATURE STRUCTURAL BIOLOGY","NAT STRUCT BIOL","1072-8368","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.158","N/A",
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.093","N/A",
"ADVANCES IN CATALYSIS","ADV CATAL","0360-0564","2163-0747","CHEMISTRY, PHYSICAL - SCIE","11","N/A",
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY - SCIE","10.747","N/A",
"PROGRESS IN INORGANIC CHEMISTRY","PROG INORG CHEM","0079-6379","N/A","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","10.714","N/A",
"CURRENT OPINION IN STRUCTURAL BIOLOGY","CURR OPIN STRUC BIOL","0959-440X","1879-033X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.427","N/A",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.714","N/A",
"MOLECULAR AND CELLULAR BIOLOGY","MOL CELL BIOL","0270-7306","1098-5549","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.666","N/A",
