"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2010 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2010 JIF,Eigenfactor
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY - SCIE","94.333","0.049",
"NATURE REVIEWS CANCER","NAT REV CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","37.184","0.13",
"CHEMICAL REVIEWS","CHEM REV","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY - SCIE","33.036","0.199",
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","32.406","0.7",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","CHEMISTRY, PHYSICAL - SCIE","29.92","0.21",
"Annual Review of Biochemistry","ANNU REV BIOCHEM","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","29.742","0.061",
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","ONCOLOGY - SCIE","26.925","0.109",
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY - SCIE","26.585","0.108",
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","25.43","0.181",
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY - SCIE","21.852","0.097",
"NATURE METHODS","NAT METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS - SCIE","20.721","0.111",
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","0732-183X","1527-7755","ONCOLOGY - SCIE","18.97","0.398",
"SURFACE SCIENCE REPORTS","SURF SCI REP","0167-5729","1879-274X","CHEMISTRY, PHYSICAL - SCIE","18.593","0.01",
"Nature Chemistry","NAT CHEM","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY - SCIE","17.927","0.013",
"LANCET ONCOLOGY","LANCET ONCOL","1470-2045","1474-5488","ONCOLOGY - SCIE","17.764","0.055",
"Nature Chemical Biology","NAT CHEM BIOL","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.808","0.06",
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.47","0.044",
"JOURNAL OF THE NATIONAL CANCER INSTITUTE","J NATL CANCER I","0027-8874","N/A","ONCOLOGY - SCIE","14.697","0.087",
"MOLECULAR CELL","MOL CELL","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.194","0.263",
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9985","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.685","0.126",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.588","0.126",
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY - SCIE","12.73","0.53",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.472","0.16",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOLOGY - SCIE","12.472","0.16",
"Annual Review of Physical Chemistry","ANNU REV PHYS CHEM","0066-426X","1545-1593","CHEMISTRY, PHYSICAL - SCIE","12.245","0.016",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, MULTIDISCIPLINARY - SCIE","12.219","0.317",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, PHYSICAL - SCIE","12.219","0.317",
"Nano Today","NANO TODAY","1748-0132","1878-044X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","11.75","0.008",
