"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2018 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2018 JIF,Eigenfactor
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY - SCIE","223.679","0.077",
"CHEMICAL REVIEWS","CHEM REV","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY - SCIE","54.301","0.267",
"NATURE REVIEWS CANCER","NAT REV CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","51.848","0.074",
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY - SCIE","40.443","0.247",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","CHEMISTRY, PHYSICAL - SCIE","38.887","0.177",
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","36.216","0.572",
"LANCET ONCOLOGY","LANCET ONCOL","1470-2045","1474-5488","ONCOLOGY - SCIE","35.386","0.147",
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","1759-4774","1759-4782","ONCOLOGY - SCIE","34.106","0.032",
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","CHEMISTRY, MULTIDISCIPLINARY - SCIE","33.25","0.16",
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","30.641","0.163",
"Nature Reviews Chemistry","NAT REV CHEM","2397-3358","2397-3358","CHEMISTRY, MULTIDISCIPLINARY - SCIE","30.628","0.007",
"NATURE METHODS","NAT METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS - SCIE","28.467","0.205",
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","0732-183X","1527-7755","ONCOLOGY - SCIE","28.349","0.284",
"Annual Review of Biochemistry","ANNU REV BIOCHEM","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","26.922","0.025",
"Cancer Discovery","CANCER DISCOV","2159-8274","2159-8290","ONCOLOGY - SCIE","26.37","0.065",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, MULTIDISCIPLINARY - SCIE","25.809","0.409",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, PHYSICAL - SCIE","25.809","0.409",
"Advanced Energy Materials","ADV ENERGY MATER","1614-6832","1614-6840","CHEMISTRY, PHYSICAL - SCIE","24.884","0.121",
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","ONCOLOGY - SCIE","23.916","0.091",
"Nature Chemistry","NAT CHEM","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY - SCIE","23.193","0.092",
"JAMA Oncology","JAMA ONCOL","2374-2437","2374-2445","ONCOLOGY - SCIE","22.416","0.049",
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY - SCIE","21.661","0.132",
"Chem","CHEM-US","2451-9294","2451-9294","CHEMISTRY, MULTIDISCIPLINARY - SCIE","18.205","0.011",
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","16.889","0.031",
"Nano Today","NANO TODAY","1748-0132","1878-044X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","16.582","0.013",
"ACS Energy Letters","ACS ENERGY LETT","2380-8195","2380-8195","CHEMISTRY, PHYSICAL - SCIE","16.331","0.031",
"Advanced Science","ADV SCI","2198-3844","2198-3844","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.804","0.021",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.621","0.176",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, PHYSICAL - SCIE","15.621","0.176",
"Nano Energy","NANO ENERGY","2211-2855","2211-3282","CHEMISTRY, PHYSICAL - SCIE","15.548","0.087",
"SURFACE SCIENCE REPORTS","SURF SCI REP","0167-5729","1879-274X","CHEMISTRY, PHYSICAL - SCIE","14.824","0.002",
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.797","0.092",
"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","J AM CHEM SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY - SCIE","14.695","0.675",
"MOLECULAR CELL","MOL CELL","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.548","0.171",
"Materials Horizons","MATER HORIZ","2051-6347","2051-6355","CHEMISTRY, MULTIDISCIPLINARY - SCIE","14.356","0.014",
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","0926-3373","1873-3883","CHEMISTRY, PHYSICAL - SCIE","14.229","0.092",
"ANNALS OF ONCOLOGY","ANN ONCOL","0923-7534","1569-8041","ONCOLOGY - SCIE","14.196","0.104",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.903","0.326",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, PHYSICAL - SCIE","13.903","0.326",
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","13.476","0.035",
"ACS Central Science","ACS CENTRAL SCI","2374-7943","2374-7951","CHEMISTRY, MULTIDISCIPLINARY - SCIE","12.837","0.018",
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.54","0.007",
"Journal of Thoracic Oncology","J THORAC ONCOL","1556-0864","1556-1380","ONCOLOGY - SCIE","12.46","0.039",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, MULTIDISCIPLINARY - SCIE","12.279","0.301",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, PHYSICAL - SCIE","12.279","0.301",
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY - SCIE","12.257","0.547",
"ACS Catalysis","ACS CATAL","2155-5435","2155-5435","CHEMISTRY, PHYSICAL - SCIE","12.221","0.141",
"Nature Chemical Biology","NAT CHEM BIOL","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.154","0.061",
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.109","0.069",
"Annual Review of Physical Chemistry","ANNU REV PHYS CHEM","0066-426X","1545-1593","CHEMISTRY, PHYSICAL - SCIE","11.982","0.011",
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.974","0.021",
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.973","0.049",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.876","0.015",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","CHEMISTRY, MEDICINAL - SCIE","11.876","0.015",
"Nature Protocols","NAT PROTOC","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS - SCIE","11.334","0.081",
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.227","0.068",
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.147","0.402",
"Physics of Life Reviews","PHYS LIFE REV","1571-0645","1873-1457","BIOLOGY - SCIE","11.045","0.003",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.028","0.019",
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","10.975","0.026",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, MULTIDISCIPLINARY - SCIE","10.856","0.091",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, PHYSICAL - SCIE","10.856","0.091",
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.812","0.027",
"Journal of Materials Chemistry A","J MATER CHEM A","2050-7488","2050-7496","CHEMISTRY, PHYSICAL - SCIE","10.733","0.295",
"Molecular Cancer","MOL CANCER","1476-4598","1476-4598","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.679","0.021",
"Molecular Cancer","MOL CANCER","1476-4598","1476-4598","ONCOLOGY - SCIE","10.679","0.021",
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","J PHOTOCH PHOTOBIO C","1389-5567","1873-2739","CHEMISTRY, PHYSICAL - SCIE","10.405","0.004",
"BIOLOGICAL REVIEWS","BIOL REV","1464-7931","1469-185X","BIOLOGY - SCIE","10.288","0.019",
"JNCI-Journal of the National Cancer Institute","JNCI-J NATL CANCER I","0027-8874","1460-2105","ONCOLOGY - SCIE","10.211","0.052",
"INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY","INT REV PHYS CHEM","0144-235X","1366-591X","CHEMISTRY, PHYSICAL - SCIE","10.172","0.003",
"CHEMISTRY OF MATERIALS","CHEM MATER","0897-4756","1520-5002","CHEMISTRY, PHYSICAL - SCIE","10.159","0.15",
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","ONCOLOGY - SCIE","10.091","0.029",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.944","0.08",
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","ONCOLOGY - SCIE","9.944","0.055",
"Molecular Systems Biology","MOL SYST BIOL","1744-4292","1744-4292","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.8","0.02",
"MEDICINAL RESEARCH REVIEWS","MED RES REV","0198-6325","1098-1128","CHEMISTRY, MEDICINAL - SCIE","9.791","0.005",
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY - SCIE","9.658","0.011",
"Annual Review of Chemical and Biomolecular Engineering","ANNU REV CHEM BIOMOL","1947-5438","1947-5446","CHEMISTRY, APPLIED - SCIE","9.569","0.003",
"Chemical Science","CHEM SCI","2041-6520","2041-6539","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.556","0.129",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","CHEMISTRY, ANALYTICAL - SCIE","9.518","0.078",
"GREEN CHEMISTRY","GREEN CHEM","1463-9262","1463-9270","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.405","0.065",
"npj Computational Materials","NPJ COMPUT MATER","2057-3960","2057-3960","CHEMISTRY, PHYSICAL - SCIE","9.2","0.004",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.193","0.136",
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","1467-5463","1477-4054","BIOCHEMICAL RESEARCH METHODS - SCIE","9.101","0.018",
"Nanoscale Horizons","NANOSCALE HORIZ","2055-6756","2055-6764","CHEMISTRY, PHYSICAL - SCIE","9.095","0.002",
"CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","CATAL REV","0161-4940","1520-5703","CHEMISTRY, PHYSICAL - SCIE","9","0.001",
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","1078-0432","1557-3265","ONCOLOGY - SCIE","8.911","0.135",
"Trends in Cancer","TRENDS CANCER","2405-8025","2405-8033","ONCOLOGY - SCIE","8.884","0.006",
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","8.88","0.013",
"PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","PROG NUCL MAG RES SP","0079-6565","1873-3301","CHEMISTRY, PHYSICAL - SCIE","8.848","0.003",
"PROGRESS IN SURFACE SCIENCE","PROG SURF SCI","0079-6816","1878-4240","CHEMISTRY, PHYSICAL - SCIE","8.762","0.002",
"Journal of Hematology & Oncology","J HEMATOL ONCOL","1756-8722","1756-8722","ONCOLOGY - SCIE","8.731","0.014",
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","2051-1426","2051-1426","ONCOLOGY - SCIE","8.728","0.011",
"Annual Review of Analytical Chemistry","ANNU REV ANAL CHEM","1936-1327","1936-1335","CHEMISTRY, ANALYTICAL - SCIE","8.721","0.004",
"Cell Systems","CELL SYST","2405-4712","2405-4720","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.64","0.016",
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.631","0.058",
"Cancer Immunology Research","CANCER IMMUNOL RES","2326-6066","2326-6074","ONCOLOGY - SCIE","8.619","0.025",
"CURRENT OPINION IN CHEMICAL BIOLOGY","CURR OPIN CHEM BIOL","1367-5931","1879-0402","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.544","0.019",
"Nano Research","NANO RES","1998-0124","1998-0000","CHEMISTRY, PHYSICAL - SCIE","8.515","0.032",
"TRAC-TRENDS IN ANALYTICAL CHEMISTRY","TRAC-TREND ANAL CHEM","0165-9936","1879-3142","CHEMISTRY, ANALYTICAL - SCIE","8.428","0.022",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.386","0.058",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOLOGY - SCIE","8.386","0.058",
"EMBO REPORTS","EMBO REP","1469-221X","1469-3178","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.383","0.03",
"CANCER RESEARCH","CANCER RES","0008-5472","1538-7445","ONCOLOGY - SCIE","8.378","0.124",
"CANCER TREATMENT REVIEWS","CANCER TREAT REV","0305-7372","1532-1967","ONCOLOGY - SCIE","8.332","0.017",
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.313","0.009",
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","ADV COLLOID INTERFAC","0001-8686","1873-3727","CHEMISTRY, PHYSICAL - SCIE","8.243","0.014",
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","1759-0876","1759-0884","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.127","0.009",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.086","0.03",
"CURRENT OPINION IN BIOTECHNOLOGY","CURR OPIN BIOTECH","0958-1669","1879-0429","BIOCHEMICAL RESEARCH METHODS - SCIE","8.083","0.023",
"JOURNAL OF CONTROLLED RELEASE","J CONTROL RELEASE","0168-3659","1873-4995","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.901","0.052",
"Blood Cancer Journal","BLOOD CANCER J","2044-5385","2044-5385","ONCOLOGY - SCIE","7.895","0.009",
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","7.816","0.025",
"ChemSusChem","CHEMSUSCHEM","1864-5631","1864-564X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.804","0.046",
"Redox Biology","REDOX BIOL","2213-2317","2213-2317","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.793","0.02",
"JOURNAL OF CATALYSIS","J CATAL","0021-9517","1090-2694","CHEMISTRY, PHYSICAL - SCIE","7.723","0.033",
"Environmental Science-Nano","ENVIRON SCI-NANO","2051-8153","2051-8161","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.704","0.009",
"RADIOLOGY","RADIOLOGY","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","7.608","0.061",
"Journal of the National Comprehensive Cancer Network","J NATL COMPR CANC NE","1540-1405","1540-1413","ONCOLOGY - SCIE","7.57","0.02",
"eLife","ELIFE","2050-084X","2050-084X","BIOLOGY - SCIE","7.551","0.26",
"JOURNAL OF POWER SOURCES","J POWER SOURCES","0378-7753","1873-2755","CHEMISTRY, PHYSICAL - SCIE","7.467","0.135",
"CARBON","CARBON","0008-6223","1873-3891","CHEMISTRY, PHYSICAL - SCIE","7.466","0.085",
"Journal of Physical Chemistry Letters","J PHYS CHEM LETT","1948-7185","N/A","CHEMISTRY, PHYSICAL - SCIE","7.329","0.124",
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","7.308","0.038",
"ULTRASONICS SONOCHEMISTRY","ULTRASON SONOCHEM","1350-4177","1873-2828","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.279","0.018",
"EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","EUR J NUCL MED MOL I","1619-7070","1619-7089","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","7.182","0.025",
