"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2011 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2011 JIF,Eigenfactor
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY - SCIE","101.78","0.045",
"CHEMICAL REVIEWS","CHEM REV","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY - SCIE","40.197","0.215",
"NATURE REVIEWS CANCER","NAT REV CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","37.545","0.126",
"Annual Review of Biochemistry","ANNU REV BIOCHEM","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","34.317","0.057",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","CHEMISTRY, PHYSICAL - SCIE","32.841","0.221",
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","32.403","0.661",
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY - SCIE","28.76","0.137",
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","ONCOLOGY - SCIE","26.566","0.115",
"LANCET ONCOLOGY","LANCET ONCOL","1470-2045","1474-5488","ONCOLOGY - SCIE","22.589","0.069",
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","22.462","0.165",
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY - SCIE","21.64","0.101",
"Nature Chemistry","NAT CHEM","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY - SCIE","20.524","0.033",
"NATURE METHODS","NAT METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS - SCIE","19.276","0.125",
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","0732-183X","1527-7755","ONCOLOGY - SCIE","18.372","0.395",
"Nano Today","NANO TODAY","1748-0132","1878-044X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.355","0.012",
"Nature Chemical Biology","NAT CHEM BIOL","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.69","0.065",
"MOLECULAR CELL","MOL CELL","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.178","0.251",
"Annual Review of Physical Chemistry","ANNU REV PHYS CHEM","0066-426X","1545-1593","CHEMISTRY, PHYSICAL - SCIE","14.13","0.017",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.877","0.262",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, PHYSICAL - SCIE","13.877","0.262",
"JOURNAL OF THE NATIONAL CANCER INSTITUTE","J NATL CANCER I","0027-8874","N/A","ONCOLOGY - SCIE","13.757","0.081",
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.668","0.041",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.608","0.127",
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.455","0.514",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.198","0.346",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, PHYSICAL - SCIE","13.198","0.346",
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.712","0.123",
"ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY","ACTA CRYSTALLOGR D","0907-4449","2059-7983","BIOCHEMICAL RESEARCH METHODS - SCIE","12.619","0.054",
"ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY","ACTA CRYSTALLOGR D","0907-4449","2059-7983","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.619","0.054",
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","12.11","0.042",
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","1759-4774","1759-4782","ONCOLOGY - SCIE","11.963","0.01",
"SURFACE SCIENCE REPORTS","SURF SCI REP","0167-5729","1879-274X","CHEMISTRY, PHYSICAL - SCIE","11.696","0.009",
"PLOS BIOLOGY","PLOS BIOL","1545-7885","1545-7885","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.452","0.15",
"PLOS BIOLOGY","PLOS BIOL","1545-7885","1545-7885","BIOLOGY - SCIE","11.452","0.15",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","11.421","0.121",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, PHYSICAL - SCIE","11.421","0.121",
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.847","0.042",
"MEDICINAL RESEARCH REVIEWS","MED RES REV","0198-6325","1098-1128","CHEMISTRY, MEDICINAL - SCIE","10.7","0.007",
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.667","0.009",
"CANCER AND METASTASIS REVIEWS","CANCER METAST REV","0167-7659","1573-7233","ONCOLOGY - SCIE","10.573","0.018",
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","J PHOTOCH PHOTOBIO C","1389-5567","1873-2739","CHEMISTRY, PHYSICAL - SCIE","10.36","0.004",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.355","0.023",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, MULTIDISCIPLINARY - SCIE","10.179","0.113",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, PHYSICAL - SCIE","10.179","0.113",
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.97","0.008",
"Nature Protocols","NAT PROTOC","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS - SCIE","9.924","0.107",
"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","J AM CHEM SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.907","0.817",
"Advances in Microbial Physiology","ADV MICROB PHYSIOL","0065-2911","2162-5468","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.875","0.001",
"CURRENT OPINION IN CHEMICAL BIOLOGY","CURR OPIN CHEM BIOL","1367-5931","1879-0402","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.85","0.028",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.79","0.016",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","CHEMISTRY, MEDICINAL - SCIE","9.79","0.016",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.647","0.186",
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.61","0.018",
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","ONCOLOGY - SCIE","9.561","0.068",
"CURRENT OPINION IN STRUCTURAL BIOLOGY","CURR OPIN STRUC BIOL","0959-440X","1879-033X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.424","0.041",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.38","0.012",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","ONCOLOGY - SCIE","9.38","0.012",
"PROGRESS IN INORGANIC CHEMISTRY","PROG INORG CHEM","0079-6379","N/A","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","9.333","0.001",
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.205","0.173",
"BIOLOGICAL REVIEWS","BIOL REV","1464-7931","1469-185X","BIOLOGY - SCIE","9.067","0.014",
"Annual Review of Analytical Chemistry","ANNU REV ANAL CHEM","1936-1327","1936-1335","CHEMISTRY, ANALYTICAL - SCIE","9.048","0.005",
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.987","0.089",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.849","0.058",
"PROGRESS IN SURFACE SCIENCE","PROG SURF SCI","0079-6816","1878-4240","CHEMISTRY, PHYSICAL - SCIE","8.636","0.004",
"Molecular Systems Biology","MOL SYST BIOL","1744-4292","1744-4292","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.626","0.039",
"ANTIOXIDANTS & REDOX SIGNALING","ANTIOXID REDOX SIGN","1523-0864","1557-7716","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.456","0.037",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.349","0.072",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, PHYSICAL - SCIE","8.349","0.072",
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","ADV COLLOID INTERFAC","0001-8686","1873-3727","CHEMISTRY, PHYSICAL - SCIE","8.12","0.013",
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.026","0.305",
"CURRENT OPINION IN COLLOID & INTERFACE SCIENCE","CURR OPIN COLLOID IN","1359-0294","1879-0399","CHEMISTRY, PHYSICAL - SCIE","8.01","0.009",
"Nature Clinical Practice Oncology","NAT CLIN PRACT ONCOL","1743-4254","N/A","ONCOLOGY - SCIE","8","0.009",
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.91","0.021",
"CANCER RESEARCH","CANCER RES","0008-5472","1538-7445","ONCOLOGY - SCIE","7.856","0.363",
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.812","0.013",
