"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2007 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2007 JIF,Eigenfactor
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY - SCIE","69.026","0.034",
"ANNUAL REVIEW OF BIOCHEMISTRY","ANNU REV BIOCHEM","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","31.19","0.07",
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","29.887","0.671",
"NATURE REVIEWS CANCER","NAT REV CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","29.19","0.15",
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","26.382","0.235",
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","ONCOLOGY - SCIE","23.858","0.118",
"CHEMICAL REVIEWS","CHEM REV","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY - SCIE","22.757","0.199",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","CHEMISTRY, PHYSICAL - SCIE","19.782","0.146",
"ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE","ANNU REV BIOPH BIOM","1056-8700","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","17.757","0.021",
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY - SCIE","16.214","0.079",
"JOURNAL OF THE NATIONAL CANCER INSTITUTE","J NATL CANCER I","0027-8874","N/A","ONCOLOGY - SCIE","15.678","0.106",
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","0732-183X","1527-7755","ONCOLOGY - SCIE","15.484","0.323",
"NATURE METHODS","NAT METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS - SCIE","15.478","0.039",
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.994","0.075",
"Nature Chemical Biology","NAT CHEM BIOL","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.683","0.02",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.501","0.125",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOLOGY - SCIE","13.501","0.125",
"MOLECULAR CELL","MOL CELL","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.156","0.309",
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.082","0.038",
"LANCET ONCOLOGY","LANCET ONCOL","1470-2045","1474-5488","ONCOLOGY - SCIE","12.247","0.033",
"SURFACE SCIENCE REPORTS","SURF SCI REP","0167-5729","1879-274X","CHEMISTRY, PHYSICAL - SCIE","11.923","0.013",
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.816","0.023",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.224","0.139",
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.194","0.012",
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9985","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.085","0.122",
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.9","0.042",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.539","0.261",
"CURRENT OPINION IN STRUCTURAL BIOLOGY","CURR OPIN STRUC BIOL","0959-440X","1879-033X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.15","0.056",
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY - SCIE","10.031","0.478",
"Molecular Systems Biology","MOL SYST BIOL","1744-4292","1744-4292","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.954","0.008",
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.653","0.146",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.627","0.207",
"ANNUAL REVIEW OF PHYSICAL CHEMISTRY","ANNU REV PHYS CHEM","0066-426X","1545-1593","CHEMISTRY, PHYSICAL - SCIE","9.439","0.015",
"MOLECULAR & CELLULAR PROTEOMICS","MOL CELL PROTEOMICS","1535-9476","1535-9484","BIOCHEMICAL RESEARCH METHODS - SCIE","9.425","0.046",
"CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","CRIT REV BIOCHEM MOL","1040-9238","1549-7798","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.933","0.009",
"BIOLOGICAL REVIEWS","BIOL REV","1464-7931","1469-185X","BIOLOGY - SCIE","8.833","0.011",
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.662","0.341",
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","8.568","0.054",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.254","0.057",
"Nature Clinical Practice Oncology","NAT CLIN PRACT ONCOL","1743-4254","N/A","ONCOLOGY - SCIE","8.217","0.007",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.191","0.194",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, PHYSICAL - SCIE","8.191","0.194",
"INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY","INT REV PHYS CHEM","0144-235X","1366-591X","CHEMISTRY, PHYSICAL - SCIE","8.121","0.006",
"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","J AM CHEM SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.885","0.95",
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.806","0.146",
"CANCER RESEARCH","CANCER RES","0008-5472","1538-7445","ONCOLOGY - SCIE","7.672","0.437",
"ADVANCES IN CATALYSIS","ADV CATAL","0360-0564","2163-0747","CHEMISTRY, PHYSICAL - SCIE","7.667","0.002",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.667","0.012",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","CHEMISTRY, MEDICINAL - SCIE","7.667","0.012",
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.618","0.031",
"CURRENT OPINION IN CHEMICAL BIOLOGY","CURR OPIN CHEM BIOL","1367-5931","1879-0402","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.588","0.035",
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","ONCOLOGY - SCIE","7.531","0.037",
"ADVANCES IN CANCER RESEARCH","ADV CANCER RES","0065-230X","2162-5557","ONCOLOGY - SCIE","7.524","0.006",
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY - SCIE","7.51","0.018",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, PHYSICAL - SCIE","7.496","0.061",
"EMBO REPORTS","EMBO REP","1469-221X","1469-3178","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.45","0.071",
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.386","0.006",
"CURRENT OPINION IN BIOTECHNOLOGY","CURR OPIN BIOTECH","0958-1669","1879-0429","BIOCHEMICAL RESEARCH METHODS - SCIE","7.37","0.029",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.264","0.009",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","ONCOLOGY - SCIE","7.264","0.009",
"MEDICINAL RESEARCH REVIEWS","MED RES REV","0198-6325","1098-1128","CHEMISTRY, MEDICINAL - SCIE","7.264","0.008",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.244","0.029",
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.954","0.359",
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","ONCOLOGY - SCIE","6.924","0.056",
"JOURNAL OF CELLULAR AND MOLECULAR MEDICINE","J CELL MOL MED","1582-1838","1582-4934","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.807","0.012",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.791","0.13",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOLOGY - SCIE","6.791","0.13",
"PROGRESS IN SURFACE SCIENCE","PROG SURF SCI","0079-6816","1878-4240","CHEMISTRY, PHYSICAL - SCIE","6.522","0.006",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.44","0.269",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","ONCOLOGY - SCIE","6.44","0.269",
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.438","0.079",
"MOLECULAR AND CELLULAR BIOLOGY","MOL CELL BIOL","0270-7306","1098-5549","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.42","0.368",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6.408","0.02",
