PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Lazareno, S; Birdsall, NJM				Lazareno, S; Birdsall, NJM			Effects of contamination on radioligand binding parameters	TRENDS IN PHARMACOLOGICAL SCIENCES			English	Article								Radioligand binding studies are used to provide quantitative estimates of parameters such as the receptor density of a tissue and the affinity values of labelled and unlabelled ligands. The presence of an unlabelled competing contaminant, which might be present because of actual contamination, inadequate radioligand purification or the breakdown of the radioligand to an active species, has surprising effects on these estimates: the apparent affinity of the radioligand is increased but the K-i values of unlabelled ligands are unaffected. The most striking and sensitive effects are on radioligand association kinetics, which become independent of radioligand concentration at high radioligand concentrations.	MRC, Ctr Collaborat, London NW7 1AD, England; Natl Inst Med Res, Div Phys Biochem, London NW7 1AA, England	MRC National Institute for Medical Research	Lazareno, S (corresponding author), MRC, Ctr Collaborat, 1-3 Burtonhole Lane, London NW7 1AD, England.								3	7	7	0	0	ELSEVIER SCIENCE LONDON	LONDON	84 THEOBALDS RD, LONDON WC1X 8RR, ENGLAND	0165-6147			TRENDS PHARMACOL SCI	Trends Pharmacol. Sci.	FEB	2000	21	2					57	60		10.1016/S0165-6147(99)01412-1	http://dx.doi.org/10.1016/S0165-6147(99)01412-1			4	Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy	283FC	10664609				2024-02-16	WOS:000085264600007
J	Raab, CE; Butcher, JW; Connolly, TM; Karczewski, J; Yu, NX; Staskiewicz, SJ; Liverton, N; Dean, DC; Melillo, DG				Raab, CE; Butcher, JW; Connolly, TM; Karczewski, J; Yu, NX; Staskiewicz, SJ; Liverton, N; Dean, DC; Melillo, DG			Synthesis of the first sulfur-35-labeled hERG radioligand	BIOORGANIC & MEDICINAL CHEMISTRY LETTERS			English	Article						S-35; hERG; radioligand; synthesis	RECTIFIER	The synthesis of the first high specific activity S-35-labeled hERG radioligand, [S-35]MK-0499, for use in HTS assays of drug candidates for hERG interaction is described. The radioligand is prepared by [S-35]sulfonylation of a high diastereomeric excess (de) aniline precursor prepared from unlabeled MK-0499. (C) 2005 Elsevier Ltd. All rights reserved.	Merck Res Labs, Dept Drug Metab, Rahway, NJ 07065 USA; Merck Res Labs, Dept Med Chem, West Point, PA 19486 USA; Merck Res Labs, Dept Mol Neurol, West Point, PA 19486 USA	Merck & Company; Merck & Company; Merck & Company	Raab, CE (corresponding author), Merck Res Labs, Dept Drug Metab, POB 2000, Rahway, NJ 07065 USA.	conrad_raab@merck.com							18	24	26	0	0	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0960-894X	1464-3405		BIOORG MED CHEM LETT	Bioorg. Med. Chem. Lett.	MAR 15	2006	16	6					1692	1695		10.1016/j.bmcl.2005.12.021	http://dx.doi.org/10.1016/j.bmcl.2005.12.021			4	Chemistry, Medicinal; Chemistry, Organic	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy; Chemistry	014PS	16377185				2024-02-16	WOS:000235492800048
S	Bylund, DB; Toews, ML		Willars, GB; Challiss, RAJ		Bylund, David B.; Toews, Myron L.			Radioligand Binding Methods for Membrane Preparations and Intact Cells	RECEPTOR SIGNAL TRANSDUCTION PROTOCOLS, THIRD EDITION	Methods in Molecular Biology		English	Article; Book Chapter						Affinity; Assay; Binding; Competition; G protein-coupled receptor; Inhibition; Intact cell; Kinetic; Non-specific binding; Radioligand; Rate constant; Receptor; Radioreceptor; Saturation	LIGAND	The radioligand binding assay is a relatively simple but powerful tool for studying G protein-coupled receptors. There are three basic types of radioligand binding experiments: (1) saturation experiments from which the affinity of the radioligand for the receptor and the binding site density can be determined; (2) inhibition experiments from which the affinity of a competing, unlabeled compound for the receptor can be determined; and (3) kinetic experiments from which the forward and reverse rate constants for radioligand binding can be determined. Detailed methods for typical radioligand binding assays for G protein-coupled receptors in membranes and intact cells are presented for these types of experiments. Detailed procedures for analysis of the data obtained from these experiments are also given.	[Bylund, David B.; Toews, Myron L.] Univ Nebraska Med Ctr, Dept Pharmacol & Expt Neurosci, Omaha, NE 68198 USA	University of Nebraska System; University of Nebraska Medical Center	Bylund, DB (corresponding author), Univ Nebraska Med Ctr, Dept Pharmacol & Expt Neurosci, Omaha, NE 68198 USA.		Bylund, David B/A-9344-2009						7	17	22	0	8	HUMANA PRESS INC	TOTOWA	999 RIVERVIEW DR, STE 208, TOTOWA, NJ 07512-1165 USA	1064-3745	1940-6029	978-1-61779-125-3	METHODS MOL BIOL	Methods Mol. Biol.		2011	746						135	164		10.1007/978-1-61779-126-0_8	http://dx.doi.org/10.1007/978-1-61779-126-0_8	10.1007/978-1-61779-126-0		30	Biochemical Research Methods; Biochemistry & Molecular Biology	Book Citation Index – Science (BKCI-S)	Biochemistry & Molecular Biology	BVR89	21607856				2024-02-16	WOS:000292615200008
J	Phan, JA; Landau, AM; Jakobsen, S; Gjedde, A				Phan, Jenny-Ann; Landau, Anne M.; Jakobsen, Steen; Gjedde, Albert			Radioligand binding analysis of α<sub>2</sub> adrenoceptors with [<SUP>11</SUP>C]yohimbine in brain in vivo: Extended Inhibition Plot correction for plasma protein binding	SCIENTIFIC REPORTS			English	Article							POSITRON-EMISSION-TOMOGRAPHY; INCREASED RECEPTOR DENSITY; RAT-BRAIN; ALPHA(2A)-ADRENERGIC RECEPTOR; ALPHA(2)-ADRENERGIC RECEPTORS; YOHIMBINE BINDING; NONHUMAN-PRIMATES; COUPLING PROTEINS; SUICIDE VICTIMS; LOCUS-COERULEUS	We describe a novel method of kinetic analysis of radioligand binding to neuroreceptors in brain in vivo, here applied to noradrenaline receptors in rat brain. The method uses positron emission tomography (PET) of [C-11] yohimbine binding in brain to quantify the density and affinity of alpha(2) adrenoceptors under condition of changing radioligand binding to plasma proteins. We obtained dynamic PET recordings from brain of Spraque Dawley rats at baseline, followed by pharmacological challenge with unlabeled yohimbine (0.3 mg/kg). The challenge with unlabeled ligand failed to diminish radioligand accumulation in brain tissue, due to the blocking of radioligand binding to plasma proteins that elevated the free fractions of the radioligand in plasma. We devised a method that graphically resolved the masking of unlabeled ligand binding by the increase of radioligand free fractions in plasma. The Extended Inhibition Plot introduced here yielded an estimate of the volume of distribution of non-displaceable ligand in brain tissue that increased with the increase of the free fraction of the radioligand in plasma. The resulting binding potentials of the radioligand declined by 50-60% in the presence of unlabeled ligand. The kinetic unmasking of inhibited binding reflected in the increase of the reference volume of distribution yielded estimates of receptor saturation consistent with the binding of unlabeled ligand.	[Phan, Jenny-Ann] Aarhus Univ, Dept Biomed, DK-8000 Aarhus, Denmark; [Phan, Jenny-Ann; Landau, Anne M.; Jakobsen, Steen] Aarhus Univ Hosp, Dept Nucl Med, DK-8000 Aarhus, Denmark; [Phan, Jenny-Ann; Landau, Anne M.; Jakobsen, Steen] Aarhus Univ Hosp, PET Ctr, DK-8000 Aarhus, Denmark; [Phan, Jenny-Ann] Johns Hopkins Univ Hosp, Dept Radiol & Radiol Sci, Baltimore, MD 21231 USA; [Landau, Anne M.] Aarhus Univ Hosp, Translat Neuropsychiat Unit, DK-8240 Aarhus, Denmark; [Gjedde, Albert] Univ Copenhagen, Dept Neurosci, DK-2200 Copenhagen, Denmark; [Gjedde, Albert] McGill Univ, Dept Neurol & Neurosurg, Montreal, PQ, Canada; [Gjedde, Albert] Tabriz Univ Med Sci, Neurosci Res Ctr, Tabriz, Iran; [Gjedde, Albert] Odense Univ Hosp, Dept Nucl Med, DK-5230 Odense, Denmark; [Gjedde, Albert] Univ Southern Denmark, Dept Clin Med, DK-5230 Odense, Denmark	Aarhus University; Aarhus University; Aarhus University; Johns Hopkins University; Johns Hopkins Medicine; Aarhus University; University of Copenhagen; McGill University; Tabriz University of Medical Science; University of Southern Denmark; Odense University Hospital; University of Southern Denmark	Gjedde, A (corresponding author), Univ Copenhagen, Dept Neurosci, DK-2200 Copenhagen, Denmark.; Gjedde, A (corresponding author), McGill Univ, Dept Neurol & Neurosurg, Montreal, PQ, Canada.; Gjedde, A (corresponding author), Tabriz Univ Med Sci, Neurosci Res Ctr, Tabriz, Iran.; Gjedde, A (corresponding author), Odense Univ Hosp, Dept Nucl Med, DK-5230 Odense, Denmark.; Gjedde, A (corresponding author), Univ Southern Denmark, Dept Clin Med, DK-5230 Odense, Denmark.	gjedde@sund.ku.dk	Gjedde, Albert/I-2452-2019; Gjedde, Albert/U-3751-2019; Landau, Anne/AAG-2797-2019	Gjedde, Albert/0000-0002-3756-7401; Landau, Anne/0000-0002-7371-8713; Phan, Jenny-Ann/0000-0003-3658-002X	Aarhus University; Department of Nuclear Medicine and PET Centre, Aarhus University Hospital; Council of Independent Research, Denmark	Aarhus University; Department of Nuclear Medicine and PET Centre, Aarhus University Hospital; Council of Independent Research, Denmark	The authors thank Professor Doris Doudet for constructive scientific discussions and suggestions. We thank Mette Simonsen for technical assistance with PET acquisitions and blood sampling. Jenny-Ann Phan is a recipient of an MD-PhD fellowship from Aarhus University. The experiments were funded by Department of Nuclear Medicine and PET Centre, Aarhus University Hospital and by grants from the Council of Independent Research, Denmark.		67	12	12	0	6	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	2045-2322			SCI REP-UK	Sci Rep	NOV 22	2017	7								15979	10.1038/s41598-017-16020-1	http://dx.doi.org/10.1038/s41598-017-16020-1			17	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	FN6IT	29167492	gold, Green Published			2024-02-16	WOS:000416118300003
J	Ito, M; Sakamoto, T; Suzuki, T; Egashira, S; Moriya, M; Ishihara, A; Iwaasa, H; Matsushita, H; Nakase, K; Wallace, MA; Dean, D; Sato, N; Tokita, S; Kanatani, A				Ito, Masahiko; Sakamoto, Toshihiro; Suzuki, Takao; Egashira, Shinichiro; Moriya, Minoru; Ishihara, Akane; Iwaasa, Hisashi; Matsushita, Hiroko; Nakase, Kazuho; Wallace, Michael A.; Dean, Dennis; Sato, Nagaaki; Tokita, Shigeru; Kanatani, Akio			Identification and characterization of a selective radioligand for melanin-concentrating hormone 1-receptor (MCH1R)	BIOORGANIC & MEDICINAL CHEMISTRY LETTERS			English	Article						Melanin-concentrating hormone 1-receptor; Antagonist; Radioligand; Receptor occupancy	RECEPTOR ANTAGONIST; BODY-WEIGHT; MOLECULAR CHARACTERIZATION; DEFICIENT MICE; OBESITY; EXPRESSION; DISCOVERY; CLONING	We have developed and characterized [S-35]4a as a potent and selective radioligand for melanin-concentrating hormone 1-receptor (MCH1R). Compound [S-35]4a showed appreciable specific signals in brain slices prepared from wild-type mice but not from MCH1R deficient mice, confirming the specificity and utility of [S-35]4a as a selective MCH1R radioligand for ex vivo receptor occupancy assays. (C) 2009 Elsevier Ltd. All rights reserved.	[Ito, Masahiko; Egashira, Shinichiro; Iwaasa, Hisashi; Nakase, Kazuho; Tokita, Shigeru; Kanatani, Akio] Banyu Pharmaceut Co Ltd, Tsukuba Res Inst, Dept Metab Disorder, Tsukuba, Ibaraki 3002611, Japan; [Sakamoto, Toshihiro; Suzuki, Takao; Moriya, Minoru; Sato, Nagaaki] Banyu Pharmaceut Co Ltd, Tsukuba Res Inst, Dept Med Chem, Tsukuba, Ibaraki 3002611, Japan; [Ishihara, Akane; Matsushita, Hiroko] Banyu Pharmaceut Co Ltd, Tsukuba Res Inst, Dept Pharmacol, Tsukuba, Ibaraki 3002611, Japan; [Wallace, Michael A.; Dean, Dennis] Merck Res Labs, Rahway, NJ 07065 USA	Novartis; Merck & Company; Novartis; Merck & Company; Merck & Company; Novartis; Merck & Company	Ito, M (corresponding author), Banyu Pharmaceut Co Ltd, Tsukuba Res Inst, Dept Metab Disorder, Okubo 3, Tsukuba, Ibaraki 3002611, Japan.	masahiko_ito2@merck.com							29	8	8	0	0	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0960-894X	1464-3405		BIOORG MED CHEM LETT	Bioorg. Med. Chem. Lett.	MAY 15	2009	19	10					2835	2839		10.1016/j.bmcl.2009.03.102	http://dx.doi.org/10.1016/j.bmcl.2009.03.102			5	Chemistry, Medicinal; Chemistry, Organic	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy; Chemistry	439LE	19361985				2024-02-16	WOS:000265627800051
J	Su, DS; Markowitz, MK; Murphy, KL; Wan, BL; Zrada, MM; Harrell, CM; O'Malley, SS; Hess, JF; Ransom, RW; Chang, RS; Wallace, MA; Raab, CE; Dean, DC; Pettibone, DJ; Freidinger, RM; Bock, MG				Su, DS; Markowitz, MK; Murphy, KL; Wan, BL; Zrada, MM; Harrell, CM; O'Malley, SS; Hess, JF; Ransom, RW; Chang, RS; Wallace, MA; Raab, CE; Dean, DC; Pettibone, DJ; Freidinger, RM; Bock, MG			Development of an efficient and selective radioligand for bradykinin B<sub>1</sub> receptor occupancy studies	BIOORGANIC & MEDICINAL CHEMISTRY LETTERS			English	Article						Bradykinin B-1; receptor; antagonist; radioligand; ex vivo	KNOCKOUT MICE; ANTAGONISTS; RAT; NONPEPTIDE; EXPRESSION; RESPONSES; GANGLIA; POTENT; KININS	We have developed an efficient and selective radioligand, the [S-35]-radiolabeled dihydroquinoxalinone derivative, 4, for an ex vivo receptor occupancy assay in transgenic rats over-expressing the human bradykinin B, receptor. (C) 2004 Elsevier Ltd. All rights reserved.	Merck Res Labs, Dept Med Chem, W Point, PA 19486 USA; Merck Res Labs, Dept Mol Pharmacol, W Point, PA 19486 USA; Merck Res Labs, Drug Metab Label Cpd Syntheses, Rahway, NJ 07065 USA	Merck & Company; Merck & Company; Merck & Company	Su, DS (corresponding author), Merck Res Labs, Dept Med Chem, Wp26-331, W Point, PA 19486 USA.	daishi_su@merck.com	Chang, Ruay-Shiung/AAH-9494-2021						17	21	24	0	3	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0960-894X	1464-3405		BIOORG MED CHEM LETT	Bioorg. Med. Chem. Lett.	DEC 20	2004	14	24					6045	6048		10.1016/j.bmcl.2004.09.074	http://dx.doi.org/10.1016/j.bmcl.2004.09.074			4	Chemistry, Medicinal; Chemistry, Organic	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy; Chemistry	876UG	15546726				2024-02-16	WOS:000225522700020
J	von Eyben, FE; Kiljunen, T; Joensuu, T; Kairemo, K; Uprimny, C; Virgolini, I				von Eyben, Finn E.; Kiljunen, Timo; Joensuu, Timo; Kairemo, Kalevi; Uprimny, Christian; Virgolini, Irene			<SUP>177</SUP>Lu-PSMA-617 radioligand therapy for a patient with lymph node metastatic prostate cancer	ONCOTARGET			English	Article						abiraterone; cross-over study; external beam radiotherapy; lutetium radiolabled prostate membrane specfic antigen radioligand therapy; metastatic prostate cancer	PET/CT-BASED RADIOTHERAPY	Prostate specific membrane antigen (PSMA) is expressed in unfavorable prostate cancer. PSMA is basis for new diagnostics and theranostics. PET/CT using PSMA is more sensitive than choline PET/CT. Lu-177-PSMA radioligand therapy is mainly used for patients with end-stage prostate cancer. This report describes a patient with a third recurrence in lymph nodes. The recurrence was treated with Lu-177-PSMA radioligand therapy instead of chemotherapy with docetaxel. The effect was in part evaluated relative to that of two established salvage treatments. Prior salvage radiotherapy and abiraterone of the first and second recurrence in lymph nodes had given only a partial reduction of PSA. Nevertheless within five months of follow-up, Lu-177-PSMA radioligand therapy of the third recurrence in lymph nodes reduced PSA for a period to unmeasurable levels. Lu-177-PSMA radioligand therapy gave only mild adverse effects. In conclusion, for a patient with lymph node metastatic prostate cancer, Lu-177-PSMA-617 radioligand therapy had an attractive therapeutic profile. A follow-up study of similar patients is being planned.	[von Eyben, Finn E.] Ctr Tobacco Control Res, Odense, Denmark; [Kiljunen, Timo; Joensuu, Timo; Kairemo, Kalevi] Docrates Canc Ctr, Helsinki, Finland; [Uprimny, Christian; Virgolini, Irene] Univ Innsbruck Hosp, Dept Nucl Med, Innsbruck, Austria	Medical University of Innsbruck	von Eyben, FE (corresponding author), Ctr Tobacco Control Res, Odense, Denmark.	finn113edler@mail.tele.dk	Uprimny, Christian/AAE-7286-2019	Virgolini, Irene/0000-0001-7097-6170					12	11	11	0	4	IMPACT JOURNALS LLC	ORCHARD PARK	6666 E QUAKER ST, STE 1, ORCHARD PARK, NY 14127 USA		1949-2553		ONCOTARGET	Oncotarget	SEP 12	2017	8	39					66112	66116		10.18632/oncotarget.19805	http://dx.doi.org/10.18632/oncotarget.19805			5	Oncology; Cell Biology	Science Citation Index Expanded (SCI-EXPANDED)	Oncology; Cell Biology	FG4YC	29029496	Green Published, gold, Green Submitted			2024-02-16	WOS:000410291200115
J	Ulven, T; Gallen, MJ; Nielsen, MC; Merten, N; Schmidt, C; Mohr, K; Tränkle, C; Kostenis, E				Ulven, Trond; Gallen, Michael J.; Nielsen, Mads C.; Merten, Nicole; Schmidt, Carola; Mohr, Klaus; Trankle, Christian; Kostenis, Evi			Synthesis and in vitro evaluation of a selective antagonist and the corresponding radioligand for the prostaglandin D<sub>2</sub> receptor CRTH2	BIOORGANIC & MEDICINAL CHEMISTRY LETTERS			English	Article						CRTH2; DP2; prostaglandin D-2; 7TM receptor; GPCR; antagonist; radioligand	ALLERGIC INFLAMMATION; ASTHMA; CELLS; CHEMOATTRACTANT; INDOMETHACIN; EOSINOPHILS; MODULATION; ACTIVATION; ROLES; MOUSE	Synthesis and preliminary in vitro biological evaluation of a selective high-affinity CRTH2 antagonist is described. The stability of an N-benzyl group facilitated synthesis of the corresponding radioligand by tritiation of a brominated precursor. The compound [H-3]TRQ11238 represents the first selective CRTH2 antagonist radioligand and exhibited a specific radioactivity of 52 Ci/mmol and a pK(d) of 9.0. (c) 2007 Elsevier Ltd. All rights reserved.	Univ Southern Denmark, Dept Chem & Phys, DK-5230 Odense, Denmark; Univ Bonn, Inst Pharmaceut Biol, Dept Mol Cellular & Pharmacobiol, D-53115 Bonn, Germany; Univ Bonn, Dept Pharmacol & Toxicol, D-53121 Bonn, Germany	University of Southern Denmark; University of Bonn; University of Bonn	Ulven, T (corresponding author), Univ Southern Denmark, Dept Chem & Phys, Campusvej 55, DK-5230 Odense, Denmark.	ulven@ifk.sdu.dk	Ulven, Trond/H-5500-2015	Ulven, Trond/0000-0002-8135-1755					19	8	13	0	1	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0960-894X	1464-3405		BIOORG MED CHEM LETT	Bioorg. Med. Chem. Lett.	NOV 1	2007	17	21					5924	5927		10.1016/j.bmcl.2007.07.080	http://dx.doi.org/10.1016/j.bmcl.2007.07.080			4	Chemistry, Medicinal; Chemistry, Organic	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy; Chemistry	222HU	17845848				2024-02-16	WOS:000250287800036
J	Matulenko, MA; Surber, B; Fan, LM; Kolasa, T; Nakane, M; Terranova, MA; Uchic, ME; Miller, LN; Chang, RJ; Donnelly-Roberts, DL; Namovic, MT; Moreland, RB; Brioni, JD; Stewart, AO				Matulenko, MA; Surber, B; Fan, LM; Kolasa, T; Nakane, M; Terranova, MA; Uchic, ME; Miller, LN; Chang, RJ; Donnelly-Roberts, DL; Namovic, MT; Moreland, RB; Brioni, JD; Stewart, AO			Synthesis and activity of 2-[4-(4-[<SUP>3</SUP>H]-2-cyanophenyl)piperazinyl]<i>N</i>-(2,4,6-[<SUP>3</SUP>H]<sub>3</sub>-3-methylphenyl)acetamide:: a selective dopamine D<sub>4</sub> receptor agonist and radioligand	BIOORGANIC & MEDICINAL CHEMISTRY LETTERS			English	Article						dopamine; agonist; radioligand	PENILE ERECTION; ACTIVATION; RATS	The first selective dopamine D-4 agonist radioligand is described. The synthesis of these piperazine radioligands relied on the transformation of brominated precursors 4a and 4b with tritium gas in the presence of a sensitive cyano functional group. The specific activity of these two radioligands was measured and [H-3]6b found to be suitable for use in D-4 saturation and competition binding studies. The synthesis, biological, and radioactivity of this new agonist radioligand as well as preliminary SAR will be discussed. (C) 2004 Elsevier Ltd. All rights reserved.	Abbott Labs, Global Pharmaceut Res & Dev, Neursci Res, Abbott Pk, IL 60064 USA; Abbott Labs, Global Pharmaceut Res & Dev, Drug Metab, Abbott Pk, IL 60064 USA	Abbott Laboratories; Abbott Laboratories	Matulenko, MA (corresponding author), Abbott Labs, Global Pharmaceut Res & Dev, Neursci Res, AP9A-L16,100 Abbott Pk Rd, Abbott Pk, IL 60064 USA.	mark.a.matulenko@abbott.com							15	12	12	0	2	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0960-894X			BIOORG MED CHEM LETT	Bioorg. Med. Chem. Lett.	OCT 18	2004	14	20					5095	5098		10.1016/j.bmcl.2004.07.068	http://dx.doi.org/10.1016/j.bmcl.2004.07.068			4	Chemistry, Medicinal; Chemistry, Organic	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy; Chemistry	858BT	15380206				2024-02-16	WOS:000224165900014
S	El-Fakahany, EE; Jakubik, J		Myslivecek, J; Jakubik, J		El-Fakahany, Esam E.; Jakubik, Jan			Radioligand Binding at Muscarinic Receptors	MUSCARINIC RECEPTOR: FROM STRUCTURE TO ANIMAL MODELS	Neuromethods		English	Article; Book Chapter						Muscarinic acetylcholine receptors; Radioligand binding	ACETYLCHOLINE-RECEPTORS; ALLOSTERIC INTERACTIONS; LIGAND-BINDING; PROTEIN; ANTAGONIST; ALCURONIUM; IDENTIFICATION; COOPERATIVITY; EXPRESSION; AGONIST	Five subtypes of muscarinic acetylcholine receptors denoted M-1 through M-5 have been cloned. Muscarinic receptors mediate a wide array of physiological functions and impairment of muscarinic signaling is involved in numerous pathological conditions including Alzheimer's disease and schizophrenia. Reliable radioligand binding techniques allow study of involvement of individual muscarinic receptor subtypes in the physiology and pathology of muscarinic signaling, and study of the structure of muscarinic receptors and structure-activation relationship of muscarinic ligands. Here we discuss the current state of knowledge of radioligand binding experiments at muscarinic receptors from the perspective of available radioligands and selective unlabeled muscarinic ligands. We relate binding properties of muscarinic ligands to experimental design (e. g., nonspecific binding determination, incubation conditions, buffers, temperature). We also list tissue/cell sources of muscarinic receptors suitable for radioligand binding studies and describe procedures of cell and tissue preparation for radioligand binding experiments. We also describe several techniques of receptor-bound ligand separation applicable at muscarinic receptors and provide basic information for binding data analysis.	[El-Fakahany, Esam E.] Univ Minnesota, Coll Pharm, Dept Expt & Clin Pharmacol, Minneapolis, MN 55455 USA; [Jakubik, Jan] Acad Sci Czech Republ, Inst Physiol, Dept Neurochem, Prague, Czech Republic	University of Minnesota System; University of Minnesota Twin Cities; Czech Academy of Sciences; Institute of Physiology of the Czech Academy of Sciences	El-Fakahany, EE (corresponding author), Univ Minnesota, Coll Pharm, Dept Expt & Clin Pharmacol, Minneapolis, MN 55455 USA.		Jakubik, Jan/B-7461-2012	Jakubik, Jan/0000-0002-1737-1487					43	10	10	0	10	HUMANA PRESS INC	TOTOWA	999 RIVERVIEW DR, STE 208, TOTOWA, NJ 07512-1165 USA	0893-2336	1940-6045	978-1-4939-2858-3; 978-1-4939-2857-6	NEUROMETHODS	Neuromethods		2016	107						37	68		10.1007/978-1-4939-2858-3_3	http://dx.doi.org/10.1007/978-1-4939-2858-3_3	10.1007/978-1-4939-2858-3		32	Neurosciences; Physiology	Book Citation Index – Science (BKCI-S)	Neurosciences & Neurology; Physiology	BE0OC					2024-02-16	WOS:000366481100005
